iteration,UA_estimate
1,474.5727865899017
2,504.2720096651915
3,511.72976715852724
4,482.26588035369156
5,517.9398973579426
6,491.8658875817778
7,507.3124990275656
8,473.92335733085173
9,518.0939115302118
10,524.708896804063
11,514.6292487111924
12,510.4769317090157
13,493.1253899046589
14,544.6881606874002
15,487.94221180988586
16,518.5928666219688
17,497.196609419158
18,493.0325991909251
19,491.7784872856666
20,529.8320689364759
21,519.66251916023
22,506.5281317416818
23,478.65607240317456
24,488.75267591815987
25,517.6737186946957
26,523.8708522173024
27,496.939093901441
28,489.78575939818114
29,494.84440021725635
30,477.80317490861097
31,518.5648623610579
32,474.9915360795188
33,500.430372192396
34,472.1765450017065
35,508.9649068343965
36,473.57442532458043
37,486.668406835915
38,488.9570278353667
39,496.536558172089
40,509.05121245366723
41,455.4061367483497
42,504.5980902246023
43,500.2984116314941
44,503.61910578460385
45,494.951062828897
46,525.2585588588037
47,541.0506113361669
48,510.5287165411112
49,500.93135970807776
50,486.3284033856845
51,475.8157126989703
52,493.02309183856704
53,497.39834881513826
54,518.873806329556
55,478.22832116035636
56,472.3340638785197
57,468.30020182313785
58,526.1915161373742
59,533.1306995486848
60,496.1231179518423
61,513.7373981478191
62,491.12092874704337
63,479.0529136740895
64,503.72099022574207
65,496.53140342681326
66,489.3293809477282
67,472.7464303571427
68,552.8453024538721
69,460.92755712021335
70,469.94004524751153
71,482.37911545466636
72,496.53140469702055
73,505.0289355467566
74,501.0255512950407
75,513.4604188951746
76,491.1280243713772
77,489.1280568221071
78,509.05283931557165
79,472.46605714775404
80,504.95978372251875
81,531.4101615994216
82,470.5609346626714
83,483.022341372111
84,496.53140591287803
85,496.87557029860886
86,492.5188861823816
87,502.2237397359247
88,518.0274154142336
89,540.1878323912086
90,503.3729636812906
91,506.6731810790319
92,495.6030642816085
93,514.3136460629254
94,512.6022318989727
95,483.03848967265793
96,491.8449851988553
97,513.9348473027685
98,504.61817085315755
99,509.0501104132238
100,461.3843387425496
